@RELATION TEST1

@ATTRIBUTE mutationId NUMERIC
@ATTRIBUTE elementId NUMERIC
@ATTRIBUTE displayed {0,1}
@ATTRIBUTE height NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE top NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE activatorTop NUMERIC
@ATTRIBUTE activatorLeft NUMERIC
@ATTRIBUTE distanceTop NUMERIC
@ATTRIBUTE distanceLeft NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE numberElements NUMERIC
@ATTRIBUTE elements_per_size NUMERIC
@ATTRIBUTE numberWords NUMERIC
@ATTRIBUTE textNodes NUMERIC
@ATTRIBUTE words_per_textNodes NUMERIC
@ATTRIBUTE table {0,1}
@ATTRIBUTE list {0,1}
@ATTRIBUTE input {0,1}
@ATTRIBUTE widgetName {0,1}
@ATTRIBUTE date {0,1}
@ATTRIBUTE img {0,1}
@ATTRIBUTE proportionNumbers NUMERIC
@ATTRIBUTE links80percent NUMERIC
@ATTRIBUTE Result {0,1}

@DATA
141,76,1,162,196,368,1155,321,1156,1,74,-1,40,0.00055456965394853600,846,41,20.6341463415,0,1,0,1,0,0,0.0,0,1
56,587,1,486,310,109,1575,70,1623,-13,148,-13,36,0.00106540396567032000,349,60,5.8166666667,0,0,0,0,0,1,0.0,0,1
1,0,1,922,279,68,0,0,0,0,113,0,36,0.00189753320683112000,536,54,9.9259259259,0,0,1,0,0,0,0.0,0,1
137,711,1,70,211,396,1103,345,1105,1,129,-1,7,0.00008377615012686100,4,2,2,0,1,0,1,0,1,0.0,0,1
149,2,1,92,152,80,159,80,8,26,1,-1,6,0.00049342105263157900,9,7,1.2857142857,0,0,0,1,0,0,0.0,0,1
5,1,1,1256,220,97,661,220,442,154,-1,-1,31,0.00145267104029991000,22,11,2,0,0,0,1,0,0,0.0,0,1
9,25,1,1058,220,97,720,158,501,92,-1,-1,4,0.00018744142455482700,2,2,1,0,0,0,1,0,0,0.0,0,1
14,225,1,484,999,305,557,491,347,217,0,0,184,0.00060388257109568600,131,131,1,0,0,0,0,0,1,0.0,0,1
192,1138,1,500,852,199,522,666,322,498,0,0,185,0.00109113643334041000,7263,329,22.0759878419,0,0,0,0,0,1,0.0,0,1
23,3,1,226,62,38,416,11,434,-3,54,-3,10,0.00424448217317487000,174,18,9.6666666667,0,0,0,0,0,0,0.0,0,1
70,1145,1,366,727,217,702,365,481,171,0,0,50,0.00031693912867094700,2225,92,24.1847826087,0,1,0,0,0,1,0.0,0,1
33,5,1,450,1364,125,270,83,284,-1,175,-1,239,0.00140175953079179000,7374,459,16.0653594771,0,1,0,1,0,1,0.0,0,1
